archivo,lineas_coincidentes,numeros_linea
README.md,10,3;117;120;122;123;126;141;143;185;193
backend/api/admin.py,13,13;14;16;77;78;83;84;85;86;96;97;98;99
backend/api/management/commands/cleanup_d2r_baseline.py,3,7;14;17
backend/api/management/commands/export_d2r_attention_dataset.py,8,8;43;63;84;86;93;123;132
backend/api/management/commands/export_d2r_frames_dataset.py,6,7;42;62;76;77;94
backend/api/migrations/0002_session_frame_count_session_last_score_and_more.py,3,49;57;58
backend/api/migrations/0003_d2rresult_phase_data.py,1,14
backend/api/migrations/0004_enrollment_enrollment_data.py,1,7
backend/api/migrations/0007_d2rschedule.py,2,14;20
backend/api/migrations/0008_studentreport.py,1,7
backend/api/migrations/0011_d2r_refactor.py,30,5;6;7;8;13;18;19;20;31;34;35;42;43;54;66;70;78;79;83;84;85;87;89;93;94;95;98;99;102;103
backend/api/migrations/0012_studentnotification_and_more.py,7,11;31;32;33;36;37;38
backend/api/models.py,15,155;156;173;176;177;178;187;191;216;217;218;227;249;259;268
backend/api/serializers.py,27,22;23;24;26;353;358;376;377;378;379;380;387;390;391;400;418;419;420;421;422;429;431;434;452;457;519;633
backend/api/urls.py,4,16;17;19;21
backend/api/views.py,71,38;39;42;44;61;62;64;66;79;124;125;126;151;152;153;154;156;160;161;163;164;165;166;167;169;170;383;768;769;775;777;778;783;787;788;794;796;797;801;805;809;811;812;816;817;818;819;820;821;826;827;833;835;836;843;844;845;849;851;861;880;881;887;889;890;1415;1416;1440;1489;1490;1544
frontend/app/components/HomePage.tsx,1,89
frontend/app/d2r/d2r-rows.ts,8,1;11;19;20;32;34;36;52
frontend/app/d2r/page.tsx,19,7;8;13;52;65;68;76;81;147;151;225;227;278;280;403;450;477;479;500
frontend/app/d2r/test-widget.tsx,7,4;34;55;56;74;167;170
frontend/app/instructor/components/EstadisticasProfesor.tsx,2,22;98
frontend/app/instructor/components/EstadisticasProfesorAdvanced.tsx,55,43;78;139;157;158;166;169;173;177;192;193;194;207;209;211;218;230;243;251;278;308;312;314;315;318;319;330;332;333;344;491;496;542;543;566;567;569;643;646;648;653;658;659;666;688;689;690;707;711;712;713;714;715;724;727
frontend/app/instructor/components/InicioProfesor.tsx,5,11;100;123;134;145
frontend/app/instructor/components/MaterialesSection.tsx,5,26;187;191;202;213
frontend/app/login/LoginContent.tsx,3,38;39;42
frontend/app/student/CursosSection.tsx,1,92
frontend/app/student/EstadisticasSection.tsx,23,65;66;128;176;177;242;243;245;246;288;295;346;403;422;448;647;648;654;658;662;673;690;693
frontend/app/student/InicioSection.tsx,10,52;71;74;81;147;190;195;222;225;230
frontend/package-lock.json,6,61;5277;5279;5284;5332;6918
frontend/package.json,1,62
ml/ml_service.py,21,117;126;127;336;340;341;342;343;345;375;383;389;395;396;397;473;475;476;482;491;494
