inference_probability,interaction_count,micro_assessment_correct,observable,observer_a,observer_b,participant_pseudo,phase_index,quality_reason,self_report,self_report_prompted,session_id,timestamp_ms
0.96426,5,,True,attentive,attentive,syn-p001,1,,,False,syn-s001,120000
0.99,5,,True,attentive,attentive,syn-p001,2,,,False,syn-s001,140000
,6,,False,attentive,attentive,syn-p001,3,synthetic_signal_insufficient,focused,True,syn-s001,160000
0.600124,4,,True,attentive,attentive,syn-p001,4,,,False,syn-s001,180000
0.815176,4,,True,attentive,attentive,syn-p001,5,,,False,syn-s001,200000
0.776413,3,,True,attentive,attentive,syn-p001,6,,focused,True,syn-s001,220000
0.657232,3,True,True,attentive,attentive,syn-p001,7,,,False,syn-s001,240000
0.837963,3,,True,attentive,attentive,syn-p001,8,,,False,syn-s001,260000
0.788639,4,,True,attentive,attentive,syn-p001,9,,focused,True,syn-s001,280000
0.666019,4,,True,attentive,attentive,syn-p001,10,,,False,syn-s001,300000
0.641867,2,,True,attentive,attentive,syn-p001,11,,,False,syn-s001,320000
0.713417,4,,True,attentive,attentive,syn-p001,12,,omitted,True,syn-s001,340000
0.756027,3,,True,attentive,attentive,syn-p001,13,,,False,syn-s001,360000
0.748695,5,True,True,attentive,attentive,syn-p001,14,,focused,True,syn-s001,380000
0.601265,4,,True,attentive,attentive,syn-p002,1,,,False,syn-s002,220000
0.584273,4,,True,attentive,attentive,syn-p002,2,,,False,syn-s002,240000
0.827246,5,,True,uncertain,distracted,syn-p002,3,,focused,True,syn-s002,260000
0.655973,3,,True,attentive,attentive,syn-p002,4,,,False,syn-s002,280000
0.419755,2,,True,no_observable,distracted,syn-p002,5,,,False,syn-s002,300000
0.447822,3,,True,distracted,distracted,syn-p002,6,,unsure,True,syn-s002,320000
0.694642,3,False,True,attentive,attentive,syn-p002,7,,,False,syn-s002,340000
0.927188,6,,True,no_observable,attentive,syn-p002,8,,,False,syn-s002,360000
0.90099,5,,True,attentive,distracted,syn-p002,9,,omitted,True,syn-s002,380000
0.883532,4,,True,distracted,attentive,syn-p002,10,,,False,syn-s002,400000
0.831591,3,,True,attentive,attentive,syn-p002,11,,,False,syn-s002,420000
0.542876,3,,True,attentive,attentive,syn-p002,12,,focused,True,syn-s002,440000
0.629053,4,,True,attentive,attentive,syn-p002,13,,,False,syn-s002,460000
0.85565,5,True,True,attentive,uncertain,syn-p002,14,,distracted,True,syn-s002,480000
0.785425,4,,True,attentive,distracted,syn-p003,1,,,False,syn-s003,320000
0.593912,3,,True,attentive,attentive,syn-p003,2,,,False,syn-s003,340000
0.796247,3,,True,attentive,uncertain,syn-p003,3,,distracted,True,syn-s003,360000
0.99,5,,True,attentive,attentive,syn-p003,4,,,False,syn-s003,380000
0.561058,3,,True,distracted,distracted,syn-p003,5,,,False,syn-s003,400000
