participant_pseudo,window_id,group_a,group_b,label,probability,observable,quality_reason
syn-p001,syn-w001-01,a1,b3_small,0,0.358696,True,
syn-p001,syn-w001-02,a1,b3_small,0,0.135925,True,
syn-p001,syn-w001-03,a1,b3_small,1,0.516056,True,
syn-p001,syn-w001-04,a1,b3_small,1,0.587973,True,
syn-p001,syn-w001-05,a1,b3_small,,,False,synthetic_signal_insufficient
syn-p001,syn-w001-06,a1,b3_small,1,0.924503,True,
syn-p001,syn-w001-07,a1,b3_small,0,0.205336,True,
syn-p001,syn-w001-08,a1,b3_small,0,0.298895,True,
syn-p001,syn-w001-09,a1,b3_small,1,0.897273,True,
syn-p001,syn-w001-10,a1,b3_small,0,0.246322,True,
syn-p002,syn-w002-01,a2,b3_small,0,0.190328,True,
syn-p002,syn-w002-02,a2,b3_small,1,0.752163,True,
syn-p002,syn-w002-03,a2,b3_small,,,False,synthetic_signal_insufficient
syn-p002,syn-w002-04,a2,b3_small,1,0.449997,True,
syn-p002,syn-w002-05,a2,b3_small,1,0.704172,True,
syn-p002,syn-w002-06,a2,b3_small,1,0.299541,True,
syn-p002,syn-w002-07,a2,b3_small,0,0.224322,True,
syn-p002,syn-w002-08,a2,b3_small,0,0.466802,True,
syn-p002,syn-w002-09,a2,b3_small,0,0.087913,True,
syn-p002,syn-w002-10,a2,b3_small,1,0.599844,True,
syn-p003,syn-w003-01,a1,b3_small,0,0.102487,True,
syn-p003,syn-w003-02,a1,b3_small,0,0.129968,True,
syn-p003,syn-w003-03,a1,b3_small,1,0.514779,True,
syn-p003,syn-w003-04,a1,b3_small,0,0.235743,True,
syn-p003,syn-w003-05,a1,b3_small,0,0.212047,True,
syn-p003,syn-w003-06,a1,b3_small,0,0.466283,True,
syn-p003,syn-w003-07,a1,b3_small,1,0.894021,True,
syn-p003,syn-w003-08,a1,b3_small,,,False,synthetic_signal_insufficient
syn-p003,syn-w003-09,a1,b3_small,1,0.784643,True,
syn-p003,syn-w003-10,a1,b3_small,1,0.827353,True,
syn-p004,syn-w004-01,a2,b3_small,1,0.610011,True,
syn-p004,syn-w004-02,a2,b3_small,0,0.434346,True,
syn-p004,syn-w004-03,a2,b3_small,1,0.703308,True,
syn-p004,syn-w004-04,a2,b3_small,1,0.51218,True,
syn-p004,syn-w004-05,a2,b3_small,1,0.464437,True,
syn-p004,syn-w004-06,a2,b3_small,,,False,synthetic_signal_insufficient
syn-p004,syn-w004-07,a2,b3_small,1,0.64544,True,
syn-p004,syn-w004-08,a2,b3_small,1,0.601713,True,
syn-p004,syn-w004-09,a2,b3_small,1,0.665059,True,
syn-p004,syn-w004-10,a2,b3_small,1,0.59448,True,
syn-p005,syn-w005-01,a1,b3_small,1,0.828586,True,
syn-p005,syn-w005-02,a1,b3_small,1,0.841423,True,
syn-p005,syn-w005-03,a1,b3_small,0,0.454173,True,
syn-p005,syn-w005-04,a1,b3_small,1,0.766706,True,
syn-p005,syn-w005-05,a1,b3_small,1,0.640389,True,
syn-p005,syn-w005-06,a1,b3_small,0,0.203964,True,
syn-p005,syn-w005-07,a1,b3_small,1,0.711867,True,
syn-p005,syn-w005-08,a1,b3_small,0,0.465629,True,
syn-p005,syn-w005-09,a1,b3_small,1,0.658427,True,
syn-p005,syn-w005-10,a1,b3_small,1,0.621756,True,
syn-p006,syn-w006-01,a2,b3_small,0,0.071997,True,
syn-p006,syn-w006-02,a2,b3_small,0,0.353826,True,
syn-p006,syn-w006-03,a2,b3_small,,,False,synthetic_signal_insufficient
syn-p006,syn-w006-04,a2,b3_small,0,0.364838,True,
syn-p006,syn-w006-05,a2,b3_small,1,0.331796,True,
syn-p006,syn-w006-06,a2,b3_small,0,0.150144,True,
syn-p006,syn-w006-07,a2,b3_small,1,0.412156,True,
syn-p006,syn-w006-08,a2,b3_small,1,0.656496,True,
syn-p006,syn-w006-09,a2,b3_small,,,False,synthetic_signal_insufficient
syn-p006,syn-w006-10,a2,b3_small,1,0.556652,True,
syn-p007,syn-w007-01,a1,b3_small,,,False,synthetic_signal_insufficient
syn-p007,syn-w007-02,a1,b3_small,0,0.274182,True,
syn-p007,syn-w007-03,a1,b3_small,1,0.735289,True,
syn-p007,syn-w007-04,a1,b3_small,0,0.448596,True,
syn-p007,syn-w007-05,a1,b3_small,1,0.830505,True,
syn-p007,syn-w007-06,a1,b3_small,1,0.859283,True,
syn-p007,syn-w007-07,a1,b3_small,0,0.056398,True,
syn-p007,syn-w007-08,a1,b3_small,1,0.73175,True,
syn-p007,syn-w007-09,a1,b3_small,0,0.319593,True,
syn-p007,syn-w007-10,a1,b3_small,0,0.088107,True,
syn-p008,syn-w008-01,a2,b3_small,1,0.423218,True,
syn-p008,syn-w008-02,a2,b3_small,1,0.607019,True,
syn-p008,syn-w008-03,a2,b3_small,0,0.154967,True,
syn-p008,syn-w008-04,a2,b3_small,1,0.54851,True,
syn-p008,syn-w008-05,a2,b3_small,1,0.349936,True,
syn-p008,syn-w008-06,a2,b3_small,,,False,synthetic_signal_insufficient
syn-p008,syn-w008-07,a2,b3_small,0,0.471994,True,
syn-p008,syn-w008-08,a2,b3_small,1,0.664587,True,
syn-p008,syn-w008-09,a2,b3_small,1,0.654376,True,
syn-p008,syn-w008-10,a2,b3_small,1,0.342267,True,
syn-p009,syn-w009-01,a1,b1,1,0.700803,True,
syn-p009,syn-w009-02,a1,b1,0,0.495351,True,
syn-p009,syn-w009-03,a1,b1,0,0.300211,True,
syn-p009,syn-w009-04,a1,b1,,,False,synthetic_signal_insufficient
syn-p009,syn-w009-05,a1,b1,1,0.747905,True,
syn-p009,syn-w009-06,a1,b1,1,0.597812,True,
syn-p009,syn-w009-07,a1,b1,1,0.562594,True,
syn-p009,syn-w009-08,a1,b1,1,0.604659,True,
syn-p009,syn-w009-09,a1,b1,1,0.558524,True,
syn-p009,syn-w009-10,a1,b1,0,0.381893,True,
syn-p010,syn-w010-01,a2,b2,1,0.729074,True,
syn-p010,syn-w010-02,a2,b2,1,0.541606,True,
syn-p010,syn-w010-03,a2,b2,0,0.041483,True,
syn-p010,syn-w010-04,a2,b2,1,0.460763,True,
syn-p010,syn-w010-05,a2,b2,1,0.40031,True,
syn-p010,syn-w010-06,a2,b2,0,0.262381,True,
syn-p010,syn-w010-07,a2,b2,1,0.682616,True,
syn-p010,syn-w010-08,a2,b2,0,0.337631,True,
syn-p010,syn-w010-09,a2,b2,,,False,synthetic_signal_insufficient
syn-p010,syn-w010-10,a2,b2,1,0.428543,True,
syn-p011,syn-w011-01,a1,b2,,,False,synthetic_signal_insufficient
syn-p011,syn-w011-02,a1,b2,0,0.040433,True,
syn-p011,syn-w011-03,a1,b2,1,0.596832,True,
syn-p011,syn-w011-04,a1,b2,0,0.096035,True,
syn-p011,syn-w011-05,a1,b2,1,0.870604,True,
syn-p011,syn-w011-06,a1,b2,1,0.901991,True,
syn-p011,syn-w011-07,a1,b2,,,False,synthetic_signal_insufficient
syn-p011,syn-w011-08,a1,b2,1,0.672034,True,
syn-p011,syn-w011-09,a1,b2,0,0.321433,True,
syn-p011,syn-w011-10,a1,b2,1,0.868644,True,
syn-p012,syn-w012-01,a2,b1,0,0.170696,True,
syn-p012,syn-w012-02,a2,b1,0,0.339208,True,
syn-p012,syn-w012-03,a2,b1,1,0.594171,True,
syn-p012,syn-w012-04,a2,b1,1,0.675525,True,
syn-p012,syn-w012-05,a2,b1,1,0.478683,True,
syn-p012,syn-w012-06,a2,b1,0,0.242335,True,
syn-p012,syn-w012-07,a2,b1,0,0.375563,True,
syn-p012,syn-w012-08,a2,b1,0,0.174759,True,
syn-p012,syn-w012-09,a2,b1,0,0.039949,True,
syn-p012,syn-w012-10,a2,b1,0,0.098135,True,
syn-p013,syn-w013-01,a1,b1,1,0.776624,True,
syn-p013,syn-w013-02,a1,b1,1,0.631279,True,
syn-p013,syn-w013-03,a1,b1,0,0.340257,True,
syn-p013,syn-w013-04,a1,b1,,,False,synthetic_signal_insufficient
syn-p013,syn-w013-05,a1,b1,1,0.715404,True,
